Ledger statement

"Date","Account","Narration","DR  ","CR   ","Balance   ",
"Opening Balance","","","11562650","0","",
"2025-12-01","Airtel Money","payment for Accommodation bed and breakfast one night","400000","0","11962650",
"2025-12-01","Airtel Money","Part payment for drinks and meals balances","1534000","0","13496650",
"2025-12-03","Airtel Money","deposit for Accommodation","300000","0","13796650",
"2025-12-04","Airtel Money","partial payment on accommodation.","2000000","0","15796650",
"2025-12-04","Airtel Money","Main Restaurant POS close day posting","170000","0","15966650",
"2025-12-04","Airtel Money","Garden Bar POS close day posting","120000","0","16086650",
"2025-12-04","Airtel Money","Cafe POS close day posting","24000","0","16110650",
"2025-12-06","Airtel Money","Deposit for Accommodation And meals","375000","0","16485650",
"2025-12-07","Airtel Money","Main Restaurant POS close day posting","5000","0","16490650",
"2025-12-07","Airtel Money","Health Club POS close day posting","75000","0","16565650",
"2025-12-08","Airtel Money","Main Restaurant POS close day posting","135000","0","16700650",
"2025-12-08","Airtel Money","Garden Bar POS close day posting","4000","0","16704650",
"2025-12-08","Airtel Money","Health Club POS close day posting","60000","0","16764650",
"2025-12-09","Airtel Money","Main Restaurant POS close day posting","115000","0","16879650",
"2025-12-09","Airtel Money","Garden Bar POS close day posting","51000","0","16930650",
"2025-12-09","Airtel Money","Cafe POS close day posting","10000","0","16940650",
"2025-12-10","Airtel Money","Garden Bar POS close day posting","10000","0","16950650",
"2025-12-11","Airtel Money","Garden Bar POS close day posting","20000","0","16970650",
"2025-12-13","Airtel Money","Garden Bar POS close day posting","104000","0","17074650",
"2025-12-13","Airtel Money","Main Restaurant POS close day posting","416000","0","17490650",
"2025-12-14","Airtel Money","Main Restaurant POS close day posting","65000","0","17555650",
"2025-12-14","Airtel Money","Garden Bar POS close day posting","12000","0","17567650",
"2025-12-15","Airtel Money","deposit For Accommodation BB","300000","0","17867650",
"2025-12-16","Airtel Money","Health Club POS close day posting","40000","0","17907650",
"2025-12-17","Airtel Money","Main Restaurant POS close day posting","60000","0","17967650",
"2025-12-17","Airtel Money","Garden Bar POS close day posting","16000","0","17983650",
"2025-12-17","Airtel Money","Health Club POS close day posting","40000","0","18023650",
"2025-12-19","Airtel Money","Main Restaurant POS close day posting","228000","0","18251650",
"2025-12-19","Airtel Money","Garden Bar POS close day posting","21000","0","18272650",
"2025-12-22","Airtel Money","Deposit for Accommodation BB","800000","0","19072650",
"2025-12-23","Airtel Money","Main Restaurant POS close day posting","130000","0","19202650",
"2025-12-24","Airtel Money","payment for Accommodation BB","720000","0","19922650",
"2025-12-25","Airtel Money","payment for Accommodation BB","300000","0","20222650",
"2025-12-25","Airtel Money","payment for Accommodation","450000","0","20672650",
"2025-12-25","Airtel Money","payment for Accommodation BB","1000000","0","21672650",
"2025-12-25","Airtel Money","Main Restaurant POS close day posting","195000","0","21867650",
"2025-12-25","Airtel Money","Garden Bar POS close day posting","5000","0","21872650",
"2025-12-25","Airtel Money","Cafe POS close day posting","16000","0","21888650",
"2025-12-26","Airtel Money","Main Restaurant POS close day posting","370000","0","22258650",
"2025-12-26","Airtel Money","Garden Bar POS close day posting","80000","0","22338650",
"2025-12-26","Airtel Money","Cafe POS close day posting","14000","0","22352650",
"2025-12-27","Airtel Money","Payment for Accommodation","80000","0","22432650",
"2025-12-27","Airtel Money","Main Restaurant POS close day posting","450000","0","22882650",
"2025-12-27","Airtel Money","Garden Bar POS close day posting","200000","0","23082650",
"2025-12-27","Airtel Money","Health Club POS close day posting","45000","0","23127650",
"2025-12-29","Airtel Money","Garden Bar POS close day posting","5000","0","23132650",
"2025-12-29","Airtel Money","Main Restaurant POS close day posting","80000","0","23212650",
"2025-12-30","Airtel Money","Main Restaurant POS close day posting","40000","0","23252650",
"2025-12-30","Airtel Money","Garden Bar POS close day posting","10000","0","23262650",
"2025-12-31","Airtel Money","payment for Accommodation and meals","440000","0","23702650",
"2025-12-31","Airtel Money","contra","0","5275710","18426940",
"Total"," "," ","23702650;","5275710;","",
