Ledger statement

"Date","Account","Narration","DR  ","CR   ","Balance   ",
"Opening Balance","","","18426940","0","",
"2026-01-01","Airtel Money","Main Restaurant POS close day posting","250000","0","18676940",
"2026-01-01","Airtel Money","Garden Bar POS close day posting","35000","0","18711940",
"2026-01-02","Airtel Money","Services close day posting","70000","0","18781940",
"2026-01-04","Airtel Money","Garden Bar POS close day posting","10000","0","18791940",
"2026-01-07","Airtel Money","Deposit For Accommodation BB","800000","0","19591940",
"2026-01-09","Airtel Money","Airtel","145000","0","19736940",
"2026-01-09","Airtel Money","Contra Sent to Stanbic","0","1727550","18009390",
"2026-01-09","Airtel Money","advance payment","250000","0","18259390",
"2026-01-10","Airtel Money","apid as part of 1,380,000 on airtel merchant line ","780000","0","19039390",
"2026-01-10","Airtel Money","final payment","150000","0","19189390",
"2026-01-10","Airtel Money","He paid excess of 300,000 which was refunded to him. ","550000","0","19739390",
"2026-01-13","Airtel Money","beef stew by Geraldine posted on Charlotte Acc","35000","0","19774390",
"2026-01-13","Airtel Money","for 5 plain chips by Bosco posted on Charlottes Acc","50000","0","19824390",
"2026-01-19","Airtel Money","","105000","0","19929390",
"2026-01-20","Airtel Money","Naboth (Airtel)","105000","0","20034390",
"2026-01-20","Airtel Money","","95000","0","20129390",
"2026-01-20","Airtel Money","","335000","0","20464390",
"2026-01-20","Airtel Money","","290000","0","20754390",
"2026-01-20","Airtel Money","","25000","0","20779390",
"2026-01-20","Airtel Money","","30000","0","20809390",
"2026-01-20","Airtel Money","","85000","0","20894390",
"2026-01-20","Airtel Money","","35000","0","20929390",
"2026-01-20","Airtel Money","","15000","0","20944390",
"2026-01-22","Airtel Money","","265000","0","21209390",
"2026-01-26","Airtel Money","","35000","0","21244390",
"2026-01-27","Airtel Money","PAYMENT FOR ACCOMMODATION FOR 2 PAX, FOR HOTEL SINGLE ROOM, 302 FOR 4 NIGHTS AND 303 FOR 3 NIGHTS","1050000","0","22294390",
"2026-01-28","Airtel Money","Contra Merchant Line","0","4000000","18294390",
"2026-01-30","Airtel Money","","5000","0","18299390",
"2026-01-31","Airtel Money","full payment for 2 hotel single rooms for 1 pax each for 1 night","300000","0","18599390",
"2026-02-01","Airtel Money","","25000","0","18624390",
"2026-02-01","Airtel Money","","180000","0","18804390",
"2026-02-02","Airtel Money","Client Already Paid on Airtel","0","80000","18724390",
"2026-02-04","Airtel Money","","35000","0","18759390",
"2026-02-06","Airtel Money","","5000","0","18764390",
"2026-02-06","Airtel Money","","85000","0","18849390",
"2026-02-06","Airtel Money","","80000","0","18929390",
"2026-02-14","Airtel Money","full payment for 1 double cottage and 1 single cottage BB","870000","0","19799390",
"2026-02-19","Airtel Money","POS as Cash Wrongly","440000","0","20239390",
"2026-02-19","Airtel Money","CONTRA","0","4000000","16239390",
"2026-03-04","Airtel Money","contra","0","1500000","14739390",
"2026-03-05","Airtel Money","transfer by CK","0","386348","14353042",
"2026-03-05","Airtel Money","Bank, credit card and other financial charges : Being Airtel charges","0","5850","14347192",
"2026-03-05","Airtel Money","full payment for 2 pax double hotel room","248750","0","14595942",
"2026-03-05","Airtel Money","Main Restaurant POS close day posting","95000","0","14690942",
"2026-03-07","Airtel Money","Main Restaurant POS close day posting","30000","0","14720942",
"2026-03-08","Airtel Money","Main Restaurant POS close day posting","220000","0","14940942",
"2026-03-08","Airtel Money","Garden Bar POS close day posting","65000","0","15005942",
"2026-03-09","Airtel Money","Main Restaurant POS close day posting","10000","0","15015942",
"2026-03-09","Airtel Money","Garden Bar POS close day posting","20000","0","15035942",
"2026-03-10","Airtel Money","Garden Bar POS close day posting","10000","0","15045942",
"2026-03-11","Airtel Money","Garden Bar POS close day posting","10000","0","15055942",
"2026-03-13","Airtel Money","Services close day posting","350000","0","15405942",
"2026-03-14","Airtel Money","Main Restaurant POS close day posting","75000","0","15480942",
"2026-03-17","Airtel Money","partial payment for accommodation for 36 pax for 12 rooms BB","3000000","0","18480942",
"2026-03-18","Airtel Money","","136000","0","18616942",
"2026-03-18","Airtel Money","","5000","0","18621942",
"2026-03-18","Airtel Money","","4000","0","18625942",
"2026-03-19","Airtel Money","Main Restaurant POS close day posting","165000","0","18790942",
"2026-03-19","Airtel Money","Garden Bar POS close day posting","15000","0","18805942",
"2026-03-21","Airtel Money","Services close day posting","400000","0","19205942",
"Total"," "," ","30905690;","11699748;","",
