Ledger statement

"Date","Account","Narration","DR  ","CR   ","Balance   ",
"Opening Balance","","","1101534","0","",
"2025-09-14","MTN Money","Main Restaurant close day posting","220000","0","1321534",
"2025-09-14","MTN Money","Garden Bar close day posting","421000","0","1742534",
"2025-09-14","MTN Money","Cafe POS close day posting","8000","0","1750534",
"2025-09-16","MTN Money","payment for Accommodation ","600000","0","2350534",
"2025-09-16","MTN Money","Garden Bar close day posting","24000","0","2374534",
"2025-09-16","MTN Money","Part payment of debt for hootel services offered to Global Livingstone Institute(Raymond Entusi).","663000","0","3037534",
"2025-09-18","MTN Money","payment for Accommodation and meals","3400000","0","6437534",
"2025-09-20","MTN Money","PAYMENT FOR ACCOMODATION BED AND BREAKFAST ONE NIGHT","300000","0","6737534",
"2025-09-20","MTN Money","Main Restaurant close day posting","145000","0","6882534",
"2025-09-20","MTN Money","Garden Bar close day posting","77000","0","6959534",
"2025-09-20","MTN Money","Activity POS close day posting","415000","0","7374534",
"2025-09-20","MTN Money","Cocktails/Mocktails POS close day posting","40000","0","7414534",
"2025-09-21","MTN Money","PAYMENT FOR MEAL FROM THE MAIN RESTRAURANT","45000","0","7459534",
"2025-09-21","MTN Money","Main Restaurant close day posting","81000","0","7540534",
"2025-09-22","MTN Money","Main Restaurant close day posting","15000","0","7555534",
"2025-09-23","MTN Money","Main Restaurant close day posting","275000","0","7830534",
"2025-09-23","MTN Money","Garden Bar close day posting","18000","0","7848534",
"2025-09-24","MTN Money","Garden Bar close day posting","72000","0","7920534",
"2025-09-25","MTN Money","Garden Bar close day posting","15000","0","7935534",
"2025-09-25","MTN Money","Main Restaurant close day posting","345000","0","8280534",
"2025-09-25","MTN Money","Cafe POS close day posting","12000","0","8292534",
"2025-09-26","MTN Money","Activity POS close day posting","350000","0","8642534",
"2025-09-26","MTN Money","Main Restaurant close day posting","1012000","0","9654534",
"2025-09-26","MTN Money","Garden Bar close day posting","129000","0","9783534",
"2025-09-26","MTN Money","Main Bar close day posting","28000","0","9811534",
"2025-09-26","MTN Money","Part payment for meals ","500000","0","10311534",
"2025-09-27","MTN Money","Deposit for Accommodation ","300000","0","10611534",
"2025-09-27","MTN Money","Garden Bar close day posting","44000","0","10655534",
"2025-09-27","MTN Money","Payment for meals and conference","820000","0","11475534",
"2025-09-28","MTN Money","Main Restaurant close day posting","55000","0","11530534",
"2025-09-28","MTN Money","Garden Bar close day posting","10000","0","11540534",
"2025-09-28","MTN Money","Activity POS close day posting","303000","0","11843534",
"2025-09-28","MTN Money","Cocktails/Mocktails POS close day posting","20000","0","11863534",
"2025-09-28","MTN Money","Cafe POS close day posting","8000","0","11871534",
"2025-09-29","MTN Money","Bank, credit card and other financial charges : momo pay charges","0","11890","11859644",
