Ledger statement

"Date","Account","Narration","DR  ","CR   ","Balance   ",
"Opening Balance","","","17974696.5","0","",
"2026-01-01","MTN Money","Deposit payment on BBQ","500000","0","18474696.5",
"2026-01-01","MTN Money","Main Restaurant POS close day posting","1544000","0","20018696.5",
"2026-01-01","MTN Money","Garden Bar POS close day posting","530000","0","20548696.5",
"2026-01-02","MTN Money","Main Restaurant POS close day posting","1038000","0","21586696.5",
"2026-01-02","MTN Money","Garden Bar POS close day posting","80000","0","21666696.5",
"2026-01-02","MTN Money","Services close day posting","820000","0","22486696.5",
"2026-01-03","MTN Money","payment for Accommodation","150000","0","22636696.5",
"2026-01-03","MTN Money","Main Restaurant POS close day posting","1313000","0","23949696.5",
"2026-01-03","MTN Money","Garden Bar POS close day posting","440000","0","24389696.5",
"2026-01-03","MTN Money","Services close day posting","200000","0","24589696.5",
"2026-01-04","MTN Money","Services close day posting","145000","0","24734696.5",
"2026-01-04","MTN Money","Main Restaurant POS close day posting","245000","0","24979696.5",
"2026-01-04","MTN Money","Garden Bar POS close day posting","50000","0","25029696.5",
"2026-01-06","MTN Money","TR377026033132","60000","0","25089696.5",
"2026-01-06","MTN Money","TR377026033132","80000","0","25169696.5",
"2026-01-06","MTN Money","Garden Bar POS close day posting","10000","0","25179696.5",
"2026-01-07","MTN Money","Paid MTN","16000","0","25195696.5",
"2026-01-07","MTN Money","Recived on MTN MoMo","115000","0","25310696.5",
"2026-01-07","MTN Money","Recived on MTN MoMo","20000","0","25330696.5",
"2026-01-07","MTN Money","Main Restaurant POS close day posting","90000","0","25420696.5",
"2026-01-08","MTN Money","MTN","75000","0","25495696.5",
"2026-01-08","MTN Money","","15000","0","25510696.5",
"2026-01-08","MTN Money","","83000","0","25593696.5",
"2026-01-08","MTN Money","","23000","0","25616696.5",
"2026-01-08","MTN Money","","318000","0","25934696.5",
"2026-01-08","MTN Money","","225000","0","26159696.5",
"2026-01-09","MTN Money","Transfer to DFCU Bank 8,200,000 UGX","0","8200000","17959696.5",
"2026-01-11","MTN Money","","140000","0","18099696.5",
"2026-01-11","MTN Money","","35000","0","18134696.5",
"2026-01-11","MTN Money","","320000","0","18454696.5",
"2026-01-11","MTN Money","","40000","0","18494696.5",
"2026-01-11","MTN Money","Contra","0","1230000","17264696.5",
"2026-01-12","MTN Money","TR37829651679","400000","0","17664696.5",
"2026-01-12","MTN Money","TR 37821063039","400000","0","18064696.5",
"2026-01-13","MTN Money","PAID IN ADVANCE","200000","0","18264696.5",
"2026-01-19","MTN Money","Advance","1700000","0","19964696.5",
"2026-01-19","MTN Money","","51000","0","20015696.5",
"2026-01-19","MTN Money","","260000","0","20275696.5",
"2026-01-19","MTN Money","","36000","0","20311696.5",
"2026-01-19","MTN Money","","15000","0","20326696.5",
"2026-01-19","MTN Money","","112000","0","20438696.5",
"2026-01-20","MTN Money","","443000","0","20881696.5",
"2026-01-20","MTN Money","","105000","0","20986696.5",
"2026-01-20","MTN Money","","260000","0","21246696.5",
"2026-01-20","MTN Money","","45000","0","21291696.5",
"2026-01-20","MTN Money","","60000","0","21351696.5",
"2026-01-20","MTN Money","","260000","0","21611696.5",
"2026-01-20","MTN Money","","250000","0","21861696.5",
"2026-01-20","MTN Money","","10000","0","21871696.5",
"2026-01-20","MTN Money","","15000","0","21886696.5",
"2026-01-20","MTN Money","","1299000","0","23185696.5",
"2026-01-20","MTN Money","","661000","0","23846696.5",
"2026-01-20","MTN Money","","40000","0","23886696.5",
"2026-01-20","MTN Money","","415000","0","24301696.5",
"2026-01-20","MTN Money","","15000","0","24316696.5",
"2026-01-20","MTN Money","","520000","0","24836696.5",
"2026-01-20","MTN Money","","200000","0","25036696.5",
"2026-01-20","MTN Money","","200000","0","25236696.5",
"2026-01-20","MTN Money","","210000","0","25446696.5",
"2026-01-26","MTN Money","","130000","0","25576696.5",
"2026-01-26","MTN Money","","65000","0","25641696.5",
"2026-01-26","MTN Money","","260000","0","25901696.5",
"2026-01-26","MTN Money","","23000","0","25924696.5",
"2026-01-26","MTN Money","","160000","0","26084696.5",
"2026-01-26","MTN Money","","300000","0","26384696.5",
"2026-01-26","MTN Money","","100000","0","26484696.5",
"2026-01-28","MTN Money","DFCU MTN Contra","0","7000000","19484696.5",
